THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
655,798,744,978,976,2
655,798,744,978,975,2
656,798,745,978,975,2
656,797,745,978,975,2
655,798,746,978,975,2
655,798,747,978,975,2
655,798,746,978,975,2
655,798,746,977,975,2
655,798,747,978,975,2
655,798,747,978,975,2
655,798,747,978,975,2
655,798,747,977,975,2
655,797,747,977,975,2
655,797,747,977,975,2
655,796,747,977,974,2
655,797,745,977,975,2
655,796,745,977,975,2
655,797,745,977,974,2
655,796,746,977,974,2
655,796,746,977,975,2
655,797,747,977,975,2
655,796,746,977,974,2
655,797,746,977,975,2
655,797,747,977,974,2
655,796,746,977,974,2
656,796,746,976,974,2
655,796,746,976,975,2
656,796,747,976,975,2
655,797,747,976,975,2
655,796,746,977,975,2
655,797,745,977,975,2
655,797,747,976,975,2
655,797,749,977,974,2
655,797,749,976,974,2
655,797,749,976,974,2
655,797,749,976,974,2
655,797,749,976,974,2
655,796,748,976,973,2
655,795,747,976,973,2
655,795,747,976,973,2
655,795,748,976,973,2
655,795,746,976,973,2
655,795,746,976,973,2
655,795,746,976,973,2
655,795,746,976,973,2
655,795,746,976,973,2
655,794,745,976,973,2
655,794,746,976,973,2
655,794,747,976,973,2
655,794,748,976,973,2
656,794,747,976,973,2
655,794,749,976,973,2
655,795,750,976,973,2
655,795,751,976,973,2
655,795,751,976,973,2
655,796,749,976,973,2
655,794,748,976,973,2
655,794,748,976,973,2
655,794,747,976,973,2
655,794,748,976,973,2
655,794,747,976,973,2
655,794,746,976,973,2
655,794,745,976,973,2
655,794,744,976,973,2
655,794,745,976,973,2
655,794,746,976,973,2
655,794,747,976,973,2
655,794,744,976,973,2
655,794,743,976,973,2
656,793,742,976,973,2
658,796,753,976,973,2
657,795,761,976,972,2
657,796,757,976,972,2
657,796,745,976,972,2
657,795,756,976,972,2
656,795,758,976,972,2
657,795,750,975,972,2
657,794,754,975,972,2
657,794,751,975,972,2
656,794,740,975,972,2
656,794,741,975,972,2
656,794,745,975,972,2
656,794,745,975,972,2
656,794,745,975,972,2
656,793,744,975,972,2
656,794,746,975,972,2
656,793,745,975,972,2
656,793,746,975,972,2
657,793,747,975,972,2
657,794,746,975,972,2
657,794,745,975,972,2
657,796,746,976,972,2
657,795,747,976,973,2
657,796,749,976,973,2
